Ticker,Company Name,HQ City,HQ State/Province,HQ Country,ESG Risk Score,ESG Risk Score Level,ESG Risk Score Percentile,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level Risk Text,2019 Performance,Market Cap,Exchange,CEO,Logo Image URL,Website URL,Industry,Sector,Company Description,Latitude,Longitude,address
MMM,3M Company,Saint paul,Minnesota,United states of america,35,High,69th percentile,12.6,12.7,9.2,Significant,-7.410517477,9.35E+10,New York Stock Exchange,Inge G. Thulin,https://financialmodelingprep.com/images-New-jpg/MMM.jpg,http://www.3m.com,Industrial Products,Industrials,"3M Co is a diversified technology company. It manufactures a diverse array of industrial and consumer products. Its business segments are Industrial, Safety and Graphics, Health Care, Electronics and Energy, and Consumer.",44.9537029,-93.0899578,"Saint paul,Minnesota,United states of america"
AOS,A.O. Smith Corporation,Milwaukee,Wisconsin,United states of america,25,Medium,37th percentile,13.6,4.3,7.3,Moderate,11.56908665,7.09E+09,New York Stock Exchange,Not Available,https://financialmodelingprep.com/images-New-jpg/AOS.jpg,http://www.aosmith.com,Industrial Products,Industrials,"A.O. Smith Corp manufactures and markets water heaters and boilers, for residential and commercial end markets. The Company has two reporting segments; North America and Rest of World.",43.0389025,-87.9064736,"Milwaukee,Wisconsin,United states of america"
ABT,Abbott Laboratories,Abbott park,Illinois,United states of america,31,High,57th percentile,3.7,15.3,11.6,Significant,20.08848334,1.58E+11,New York Stock Exchange,Miles D. White,https://financialmodelingprep.com/images-New-jpg/ABT.jpg,http://www.abbott.com,Drug Manufacturers,Healthcare,"Abbott Laboratories is a health care company that manufactures medical devices, blood glucose monitoring kits, nutritional healthcare products, diagnostic products and equipment, and branded generic drugs.",42.3041814,-87.8963916,"Abbott park,Illinois,United states of america"
ABBV,AbbVie Inc.,North chicago,Illinois,United states of america,30,High,56th percentile,1,16.5,12.8,Significant,-3.959214665,1.21E+11,New York Stock Exchange,Richard A. Gonzalez,https://financialmodelingprep.com/images-New-jpg/ABBV.jpg,http://www.abbvie.com,Drug Manufacturers,Healthcare,"AbbVie Inc is a biopharmaceutical company that discovers, develops, manufactures and sells a range of pharmaceutical products for treating chronic autoimmune diseases, virology and neurological disorders.",42.325578,-87.8411818,"North chicago,Illinois,United states of america"
ABN.AS,ABN AMRO Bank N.V.,Amsterdam,Noord-holland,Netherlands,86,Severe,98th percentile,90,85,84,Significant,-21.03213242,1.49E+10,Amsterdam,Not Available,https://financialmodelingprep.com/images-New-jpg/ABN.AS.jpg,http://www.abnamro.com,Banks—Diversified,Financial Services,"ABN AMRO Bank N.V. provides various banking products and services in the Netherlands and internationally. It operates through Retail Banking, Commercial Banking, Private Banking, and Corporate & Institutional Banking segments. The Retail Banking segment offers banking products and services, including labelled residential mortgage products under the Direktbank, Florius, and Moneyou names; and consumer loans under the Alpha Credit Nederland, Credivance, Defam, and GreenLoans names. It also issues, promotes, manages, and processes credit cards; and provides revolving credit card facilities and pension schemes, as well as Internet banking services for savings accounts and mortgages. This segment serves individuals. The Commercial Banking segment offers asset-based solutions, including working capital solutions, equipment leases and loans, and vendor lease services to business clients and clients in the commercial real estate industry. The Private Banking segment provides private ",52.3666969,4.8945398,"Amsterdam,Noord-holland,Netherlands"
ACN,Accenture plc Class A (Ireland),Dublin,Dublin,Ireland; republic of,15,Low,7th percentile,1,8.2,6.2,Moderate,49.32983476,1.33E+11,New York Stock Exchange,Pierre Nanterme,https://financialmodelingprep.com/images-New-jpg/ACN.jpg,http://www.accenture.com,Application Software,Technology,"Accenture PLC is a professional service company. It provides consulting, technology and outsourcing services to Communications, Media and Technology, Financial services, Health and Public service, Products and Resources segments.",53.3498053,-6.2603097,"Dublin,Dublin,Ireland; republic of"
AC.PA,Accor SA,Issy-les-moulineaux,Ile-de-france,France,19,Negligible,16th percentile,7,7,5,Moderate,12.50336836,1.01E+10,Paris,Not Available,https://financialmodelingprep.com/images-New-jpg/AC.PA.jpg,http://group.accor.com/en,Lodging,Consumer Cyclical,"Accor SA operates a chain of hotels worldwide. It operates through three segments: HotelServices, Hotel Assets & Others, and New Businesses. The company owns, operates, manages, and franchises hotels. It also provides digital solutions to independent hotel operators and restaurant owners through Fastbooking, Availpro, ResDiary, and Adoria platforms; and hotel booking services for travels agencies and corporates through Gekko solutions. In addition, the company offers concierge services; and digital sales through VeryChic, which offers private sales with luxury and high-end partner, as well as rents private luxury homes comprising onefinestay, Travel Keys, and Squarebreak. Accor SA was founded in 1967 and is headquartered in Issy-les-Moulineaux, France.",48.8245306,2.2743419,"Issy-les-moulineaux,Ile-de-france,France"
ATVI,Activision Blizzard Inc,Santa monica,California,United states of america,17,Low,10th percentile,0.2,10.5,6.1,Moderate,27.59287095,4.68E+10,Nasdaq Global Select,Robert A. Kotick,https://financialmodelingprep.com/images-New-jpg/ATVI.jpg,http://www.activisionblizzard.com,Application Software,Technology,"Activision Blizzard is a developer and publisher of interactive entertainment content and services. It develops and distributes content and services on video game consoles, personal computers, and mobile devices.",34.0194543,-118.4911912,"Santa monica,California,United states of america"
AYI,Acuity Brands Inc (Holding Company),Atlanta,Georgia,United states of america,28,Medium,46th percentile,8.5,11.3,8,Moderate,20.05219661,4.82E+09,New York Stock Exchange,Vernon J. Nagel,https://financialmodelingprep.com/images-New-jpg/AYI.jpg,http://www.acuitybrands.com,Computer Hardware,Technology,"Acuity Brands Inc through its subsidiaries provides lighting and building management solutions and services for commercial, institutional, industrial, and residential applications. Its products include luminaires, lighting controls and components etc.",33.7489954,-84.3879824,"Atlanta,Georgia,United states of america"
ADBE,Adobe Systems Incorporated,San jose,California,United states of america,14,Low,4th percentile,0.4,8.1,5.1,Moderate,45.77881895,1.74E+11,Nasdaq Global Select,Shantanu Narayen,https://financialmodelingprep.com/images-New-jpg/ADBE.jpg,http://www.adobe.com,Application Software,Technology,"Adobe Systems Inc offers a line of software and services for content creation and the measurement of digital advertising and marketing. Its software applications includes Photoshop and Lightroom, Adobe Analytics, Media Optimizer and Campaign Manager.",37.3382082,-121.8863286,"San jose,California,United states of america"
AAP,Advance Auto Parts Inc W/I,Raleigh,North carolina,United states of america,13,Negligible,4th percentile,0,9,4,Moderate,1.714721199,9.37E+09,New York Stock Exchange,Thomas R. Greco,https://financialmodelingprep.com/images-New-jpg/AAP.jpg,https://shop.advanceautoparts.com,Retail - Apparel & Specialty,Consumer Cyclical,"Advance Auto Parts Inc is an automotive aftermarket parts provider serving professional installers, DIY (do-it-yourself) customer and independently-owned operators.",35.7795897,-78.6381787,"Raleigh,North carolina,United states of america"
ACM,AECOM,Los angeles,California,United states of america,31,High,59th percentile,5,17.3,9,Moderate,62.75471698,7.80E+09,New York Stock Exchange,Michael S. Burke,https://financialmodelingprep.com/images-New-jpg/ACM.jpg,http://www.aecom.com,Engineering & Construction,Industrials,"AECOM provides consulting and engineering services to clients in transportation, facilities, environmental, and other markets. It mainly designs, builds, and operates infrastructure projects for governments, businesses, and organizations.",34.0522342,-118.2436849,"Los angeles,California,United states of america"
AER,Aercap Holdings N.V.,Dublin,0,Republic of Ireland,20,Medium,21st percentile,5.4,7.7,7.4,Moderate,55.22727273,7.70E+09,New York Stock Exchange,Aengus Kelly,https://financialmodelingprep.com/images-New-jpg/AER.jpg,http://www.aercap.com,Aerospace & Defense,Industrials,"AerCap Holdings NV provides aircraft leasing and aviation finance services. Its activities also include aircraft asset management, corporate services, remarketing of aircraft, collecting rental, maintenance payments and monitoring aircraft maintenance.",33.791638,-84.389488,Not Available
ADP.PA,Aeroports de Paris SA,Tremblay-en-france,Ile-de-france,France,18,Negligible,13th percentile,2,9,6,,6.404833837,1.69E+10,Paris,Not Available,https://financialmodelingprep.com/images-New-jpg/ADP.PA.jpg,http://www.parisaeroport.fr,Airports & Air Services,Industrials,"Aéroports de Paris SA designs, construct, and operates airports. The company operates through five segments: Aviation, Retail and Services, Real Estate, International and Airport Developments, and Other Activities. It owns and operates Paris-Charles de Gaulle, Paris-Orly, and Paris-Le Bourget airports; Issy-les-Moulineaux heliport; and 10 general aviation airfields in France. The company is also involved in retail activities offering services through shops, bars and restaurants, banks and exchange offices, and rentals in terminals, as well as in the provision of parking and car rental services. In addition, it operates real estate properties, such as aircraft maintenance hangars and cargo terminals at the first edge or industrial areas; develops offices, hotels, shops, and business and logistic locations; and provides leaning, security, and human resources services, as well as information and communication technology services for airports and other sites with high business tr",48.979952,2.557211,"Tremblay-en-france,Ile-de-france,France"
AFL,AFLAC Incorporated,Columbus,Georgia,United states of america,24,Medium,34th percentile,2,8.8,13.6,Moderate,16.11062335,3.89E+10,New York Stock Exchange,Daniel P. Amos,https://financialmodelingprep.com/images-New-jpg/AFL.jpg,http://www.aflac.com,Insurance - Life,Financial Services,Aflac Inc is a general business holding company and acts as a management company. It offers supplemental health and life insurance in the U.S. and Japan.,32.4609764,-84.9877094,"Columbus,Georgia,United states of america"
A,Agilent Technologies Inc.,Santa clara,California,United states of america,18,Low,12th percentile,0.9,9.4,7.2,Moderate,26.46012452,2.62E+10,New York Stock Exchange,Michael R. McMullen,https://financialmodelingprep.com/images-New-jpg/A.jpg,http://www.agilent.com,Medical Diagnostics & Research,Healthcare,"Agilent Technologies Inc is engaged in life sciences, diagnostics and applied chemical markets. The company provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow.",37.3541079,-121.9552356,"Santa clara,California,United states of america"
AGNC,AGNC Investment Corp.,Bethesda,Maryland,United states of america,20,Medium,21st percentile,3.8,6.5,10,,0.798175599,1.00E+10,Nasdaq Global Select,Gary D. Kain,https://financialmodelingprep.com/images-New-jpg/AGNC.jpg,http://www.agnc.com,REITs,Real Estate,"AGNC Investment Corp is an internally-managed real estate investment trust. It invests in agency mortgage-backed securities on a leveraged basis, financed through collateralized borrowings structured as repurchase agreements.",38.984652,-77.0947092,"Bethesda,Maryland,United states of america"
AEM,Agnico Eagle Mines Limited,Toronto,Ontario,Canada,28,Medium,48th percentile,13.5,9.1,5.7,Moderate,52.5,1.47E+10,New York Stock Exchange,Sean Boyd,https://financialmodelingprep.com/images-New-jpg/AEM.jpg,http://www.agnicoeagle.com,Metals & Mining,Basic Materials,"Agnico Eagle Mines Ltd is a Canadian gold mining company. Its mining properties are located in Canada, Finland and Mexico as well as in United States and Sweden.",43.653226,-79.3831843,"Toronto,Ontario,Canada"
APD,Air Products and Chemicals Inc.,Allentown,Pennsylvania,United states of america,12,Low,3rd percentile,6.6,2,3.7,Moderate,46.82286785,5.33E+10,New York Stock Exchange,Seifollah Ghasemi,https://financialmodelingprep.com/images-New-jpg/APD.jpg,http://www.airproducts.com,Chemicals,Basic Materials,"Air Products & Chemicals Inc is a supplier of hydrogen and helium. It also provides semiconductor materials, refinery hydrogen, natural gas liquefaction and coatings and adhesives.",40.6022939,-75.4714098,"Allentown,Pennsylvania,United states of america"
AIR.PA,Airbus SE,Leiden,Zuid-holland,Netherlands,30,Severe,56th percentile,8,14,8,Significant,55.40733683,1.05E+11,Paris,Not Available,https://financialmodelingprep.com/images-New-jpg/AIR.PA.jpg,http://www.airbus.com,Aerospace & Defense,Industrials,"Airbus SE provides aerospace products, services, and solutions in the Netherlands and internationally. The company operates in three segments: Airbus, Airbus Helicopters, and Airbus Defence and Space segments. The Airbus segment develops, manufactures, markets, and sells commercial jet aircraft of approximately 100 seats; and regional turboprop aircraft and aircraft components, as well as provides aircraft conversion and related services. The Airbus Helicopters segment develops, manufactures, markets, and sells civil and military helicopters; and offers helicopter related services. The Airbus Defence and Space segment designs, develops, delivers, and supports military aircraft, such as combat, mission, transport, and tanker aircraft; and offers unmanned aerial systems and their associated services. It also provides civil and defense space systems for telecommunications, earth observations, navigation, science, and orbital systems; missile systems; and missile and space launch",52.1601144,4.4970097,"Leiden,Zuid-holland,Netherlands"
AKAM,Akamai Technologies Inc.,Cambridge,Massachusetts,United states of america,21,Medium,23rd percentile,1.8,11.8,7.3,Low,41.4210871,1.53E+10,Nasdaq Global Select,F. Thomson Leighton,https://financialmodelingprep.com/images-New-jpg/AKAM.jpg,http://www.akamai.com,Application Software,Technology,"Akamai Technologies Inc is a United States based company which provides cloud services for delivering, optimizing and securing online content and business applications over the Internet.",42.3736158,-71.1097335,"Cambridge,Massachusetts,United states of america"
ALB,Albemarle Corporation,Charlotte,North carolina,United states of america,37,High,76th percentile,19.7,8.9,8.7,Low,-5.229012586,8.57E+09,New York Stock Exchange,Luther C. Kissam,https://financialmodelingprep.com/images-New-jpg/ALB.jpg,http://www.albemarle.com,Chemicals,Basic Materials,"Albemarle Corp is a developer, manufacturer and marketer of engineered specialty chemicals. It provides services to end markets including petroleum refining, consumer electronics, construction, automotive, lubricants and pharmaceuticals.",35.2270869,-80.8431267,"Charlotte,North carolina,United states of america"
AA,Alcoa Corporation,Pittsburgh,Pennsylvania,United states of america,31,High,58th percentile,15,9.2,6.9,Significant,-19.0744921,2.65E+09,New York Stock Exchange,Roy Christopher Harvey,https://financialmodelingprep.com/images-New-jpg/AA.jpg,http://www.alcoa.com,Metals & Mining,Basic Materials,Alcoa Corp is an integrated aluminum company. The company engages in aluminum production from bauxite mining to manufactures finished aluminum goods. It serves finished aluminum goods to a wide-variety of industrial end markets.,40.4406248,-79.9958864,"Pittsburgh,Pennsylvania,United states of america"
ARE,Alexandria Real Estate Equities Inc.,Pasadena,California,United states of america,15,Negligible,6th percentile,2,7,5,,40.21173204,2.13E+10,New York Stock Exchange,Joel S. Marcus,https://financialmodelingprep.com/images-New-jpg/ARE.jpg,http://www.are.com,REITs,Real Estate,"Alexandria Real Estate Equities Inc is an urban office REIT engaged in life science and technology campuses through ownership, operation, management and selective redevelopment and development of properties in office/laboratory space.",34.1477849,-118.1445155,"Pasadena,California,United states of america"
ALXN,Alexion Pharmaceuticals Inc.,Boston,Massachusetts,United states of america,27,Medium,44th percentile,0.1,18.8,8.2,Significant,11.08258012,2.22E+10,Nasdaq Global Select,Ludwig N. Hantson,https://financialmodelingprep.com/images-New-jpg/ALXN.jpg,http://www.alexionpharm.com,Biotechnology,Healthcare,Alexion Pharmaceuticals Inc is a biopharmaceutical company. It is engaged in serving patients with severe and ultra-rare disorders through the development and commercialization of life-transforming therapeutic products.,42.3600825,-71.0588801,"Boston,Massachusetts,United states of america"
BABA,Alibaba Group Holding Limited,Hangzhou,Zhejiang,China,25,Medium,35th percentile,2.3,12.2,10.2,Moderate,54.7384548,5.63E+11,New York Stock Exchange,Yong Daniel Zhang,https://financialmodelingprep.com/images-New-jpg/BABA.jpg,http://www.alibabagroup.com,Retail - Apparel & Specialty,Consumer Cyclical,"Alibaba Group Holding Ltd is an online and mobile commerce company. It operates China's most popular online marketplaces such as Taobao (C2C), Tmall (B2C), and Juhuasuan. It also engages in advertising, digital media, cloud computing, and other.",30.274084,120.15507,"Hangzhou,Zhejiang,China"
ALKS,Alkermes plc,Dublin,Dublin,Republic of Ireland,30,Severe,56th percentile,0,22,9,Low,-30.87089122,2.75E+09,Nasdaq Global Select,Richard F. Pops,https://financialmodelingprep.com/images-New-jpg/ALKS.jpg,http://www.alkermes.com,Biotechnology,Healthcare,"Alkermes PLC is a fully integrated, biopharmaceutical company. It applies its scientific expertise and proprietary technologies to research, develop and commercialize pharmaceutical products to address unmet medical needs of patients.",53.3498053,-6.2603097,"Dublin,Dublin,Ireland; republic of"
Y,Alleghany Corporation,New york city,New york,United states of america,33,Severe,65th percentile,3,13,18,Low,28.2760059,1.17E+10,New York Stock Exchange,Weston M. Hicks,https://financialmodelingprep.com/images-New-jpg/Y.jpg,http://www.alleghany.com,Insurance - Property & Casualty,Financial Services,Alleghany Corp together with its subsidiaries is engaged in the property and casualty reinsurance and insurance business in the United States. It operates through two segments namely reinsurance and insurance.,40.7127753,-74.0059728,"New york city,New york,United states of america"
ALLE,Allegion plc,Dublin,Dublin,Ireland; republic of,24,Medium,32nd percentile,13.5,4.2,6.2,,56.24137498,1.21E+10,New York Stock Exchange,David D. Petratis,https://financialmodelingprep.com/images-New-jpg/ALLE.jpg,http://www.allegion.com,Consulting & Outsourcing,Industrials,"Allegion PLC provides security products and solutions that keep people safe, secure and productive. Its products include door closers, exit devices, frames, biometrics, special surfaces, video surveillance, wireless connectivity, and cloud technology.",53.3498053,-6.2603097,"Dublin,Dublin,Ireland; republic of"
AGN,Allergan plc,Dublin,Dublin,Ireland; republic of,31,High,59th percentile,1.3,18.3,11.7,Significant,43.02708365,6.16E+10,New York Stock Exchange,Brenton L. Saunders,https://financialmodelingprep.com/images-New-jpg/AGN.jpg,http://www.allergan.com,Drug Manufacturers,Healthcare,"Allergan PLC is a specialty pharmaceutical company engaged in the development, manufacturing, marketing, and distribution of brand name pharmaceutical products, medical aesthetics, biosimilar and OTC pharmaceutical products.",53.3498053,-6.2603097,"Dublin,Dublin,Ireland; republic of"
ADS,Alliance Data Systems Corporation,Columbus,Ohio,United states of america,17,Low,11th percentile,0.1,10.7,6.1,Moderate,-25.23987207,4.94E+09,New York Stock Exchange,Edward J. Heffernan,https://financialmodelingprep.com/images-New-jpg/ADS.jpg,http://www.alliancedata.com,Credit Services,Financial Services,"Alliance Data Systems Corp provides marketing, loyalty, and credit solutions in the United States, Canada, and other countries. The business activity of the group is functioned through LoyaltyOne, Epsilon, and Card service segment.",39.9611755,-82.9987942,"Columbus,Ohio,United states of america"
LNT,Alliant Energy Corporation,Madison,Wisconsin,United states of america,35,High,71st percentile,18.5,10.1,6.8,Moderate,29.5147929,1.43E+10,New York Stock Exchange,Patricia L. Kampling,https://financialmodelingprep.com/images-New-jpg/LNT.jpg,http://www.alliantenergy.com,Utilities - Regulated,Utilities,Alliant Energy Corp operates as a regulated investor-owned public utility holding company. It provides regulated electricity and natural gas services in the Midwest through its subsidiaries.,43.0730517,-89.4012302,"Madison,Wisconsin,United states of america"
ALL,Allstate Corporation (The),Northbrook,Illinois,United states of america,21,Medium,24th percentile,1.5,8.6,11.3,Moderate,36.08858768,3.88E+10,New York Stock Exchange,Thomas J. Wilson,https://financialmodelingprep.com/images-New-jpg/ALL.jpg,http://www.allstate.com,Insurance - Property & Casualty,Financial Services,"Allstate Corp, through its subsidiaries, is primarily engaged in the property-liability insurance business and the life insurance, retirement and investment products business. It offers its products in the United States and Canada.",42.1275267,-87.8289548,"Northbrook,Illinois,United states of america"
ALLY,Ally Financial Inc.,Detroit,Michigan,United states of america,25,Medium,36th percentile,0.2,15,9.8,Moderate,34.86319506,1.21E+10,New York Stock Exchange,Jeffrey J. Brown,https://financialmodelingprep.com/images-New-jpg/ALLY.jpg,http://www.ally.com,Banks,Financial Services,Ally Financial Inc is a US based financial service provider. It mainly serves automotive dealers and their retail customers. The company through its subsidiary operates insurance and corporate finance business.,42.331427,-83.0457538,"Detroit,Michigan,United states of america"
GOOGL,Alphabet Inc.,Mountain view,California,United states of america,30,Medium,53rd percentile,0.9,15.9,12.8,High,28.17619813,1.00E+12,Nasdaq Global Select,Larry Page,https://financialmodelingprep.com/images-New-jpg/GOOGL.jpg,https://www.abc.xyz,Online Media,Technology,"Alphabet Inc is a provider of internet content products and portals. Its suite of brands includes Search, Android, YouTube, Apps, Maps & Ads.",37.3860517,-122.0838511,"Mountain view,California,United states of america"
ALO.PA,Alstom SA,Saint-ouen,Ile-de-france,France,16,Negligible,9th percentile,3,5,8,Significant,3.201368524,1.07E+10,Paris,Not Available,https://financialmodelingprep.com/images-New-jpg/ALO.PA.jpg,http://www.alstom.com,Specialty Industrial Machinery,Industrials,"Alstom SA develops and markets systems, equipment, and services for the transport sector in Europe, the Americas, Asia and Pacific, the Middle-East, and Africa. The company offers metros, tramways, tram-trains and LRVs, suburban trains, regional and intercity trains, high-speed trains, and locomotives, and electric buses; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment. In addition, the company provides maintenance, modernization, parts and repair, and support services. Further, it offers various components, including bogies, motors, traction systems, propulsion systems, switchgears, auxiliary converters, traction transformers, and dampers; and asset optimization, connectivity, digital passenger, and security and city mobility solutions. Alstom SA was ",48.911856,2.333764,"Saint-ouen,Ile-de-france,France"
AABA,Altaba Inc.,New york,New york,United states of america,33,High,64th percentile,3.2,14.4,15.1,Significant,-66.12012427,1.02E+10,Nasdaq Global Select,Thomas J. Mcinerney,https://financialmodelingprep.com/images-New-jpg/AABA.jpg,http://www.altaba.com,Asset Management,Financial Services,"Altaba Inc is an independent, non-diversified, closed-end management investment company. The Fund's objective is to seek to increase the price per share at which it trades relative to then-current values of its principal underlying assets, and others.",40.7127753,-74.0059728,"New york,New york,United states of america"
MO,Altria Group Inc.,Richmond,Virginia,United states of america,25,Medium,36th percentile,6.3,12.4,6.3,Significant,1.052844705,8.97E+10,New York Stock Exchange,Martin J. Barrington,https://financialmodelingprep.com/images-New-jpg/MO.jpg,http://www.altria.com,Tobacco Products,Consumer Defensive,"Altria Group Inc along with its subsidiaries is engaged in the manufacture and sale of cigarettes, machine-made large cigars, pipe tobacco, smokeless tobacco products and wine.",37.5407246,-77.4360481,"Richmond,Virginia,United states of america"
AMZN,Amazon.com Inc.,Seattle,Washington,United states of america,31,High,56th percentile,5.8,13.7,11,Significant,23.02775688,9.27E+11,Nasdaq Global Select,Jeffrey P. Bezos,https://financialmodelingprep.com/images-New-jpg/AMZN.jpg,http://www.amazon.com,Online Media,Technology,"Amazon.com Inc is an online retailer. The Company sells its products through the website which provides services, such as advertising services and co-branded credit card agreements. It also offers electronic devices like Kindle e-readers and Fire tablets.",47.6062095,-122.3320708,"Seattle,Washington,United states of america"
DOX,Amdocs Limited,Chesterfield missouri,Missouri,United states of america,18,Low,13th percentile,1.2,10.7,5.9,,23.23318539,9.92E+09,Nasdaq Global Select,Eli Gelman,https://financialmodelingprep.com/images-New-jpg/DOX.jpg,http://www.amdocs.com,Application Software,Technology,"Amdocs Ltd is engaged in the software industry. Its software products and services cater to the communications, media and entertainment industry.",38.6631083,-90.5770675,"Chesterfield missouri,Missouri,United states of america"
AEE,Ameren Corporation,St. louis,Missouri,United states of america,36,High,72nd percentile,18,11.4,6.5,Moderate,17.73723747,2.01E+10,New York Stock Exchange,Warner L. Baxter,https://financialmodelingprep.com/images-New-jpg/AEE.jpg,http://www.ameren.com,Utilities - Regulated,Utilities,"Ameren Corp is an American power company. It operates a rate-regulated electric generation, transmission, and distribution business and a rate-regulated natural gas transmission and distribution business in Missouri and Illinois.",38.6270025,-90.1994042,"St. louis,Missouri,United states of america"
AAL,American Airlines Group Inc.,Fort worth,Texas,United states of america,32,High,60th percentile,11.6,13.7,6.2,Moderate,-10.68203052,1.19E+10,Nasdaq Global Select,W. Douglas Parker,https://financialmodelingprep.com/images-New-jpg/AAL.jpg,http://www.aa.com,Airlines,Industrials,"American Airlines Group Inc operates over 6,000 flights per day to more than 300 destinations across the world from hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix and Washington, D.C.",32.7554883,-97.3307658,"Fort worth,Texas,United states of america"
AEP,American Electric Power Company Inc.,Columbus,Ohio,United states of america,31,High,56th percentile,16.4,8.7,5.5,Moderate,26.45169922,5.14E+10,New York Stock Exchange,Nicholas K. Akins,https://financialmodelingprep.com/images-New-jpg/AEP.jpg,http://www.aep.com,Utilities - Regulated,Utilities,"American Electric Power Co Inc is a regulated utilities operator. The company generates, transmits and distributes electricity to more than 5 million retail customers across over 10 states in the United States of America.",39.9611755,-82.9987942,"Columbus,Ohio,United states of america"
AXP,American Express Company,New york city,New york,United states of america,23,Medium,29th percentile,0.1,12.8,10.1,Significant,30.60218212,1.08E+11,New York Stock Exchange,Stephen J. Squeri,https://financialmodelingprep.com/images-New-jpg/AXP.jpg,http://www.americanexpress.com,Credit Services,Financial Services,"American Express Co is a payments, network and travel company. It provides charge and credit card products, travel services, network services, stored value products, loans, and other products and services to businesses and individuals.",40.7127753,-74.0059728,"New york city,New york,United states of america"
AIG,American International Group Inc.,New york city,New york,United states of america,29,Medium,52nd percentile,1.9,11.6,16,Moderate,30.24613042,4.46E+10,New York Stock Exchange,Brian Duperreault,https://financialmodelingprep.com/images-New-jpg/AIG.jpg,http://www.aig.com,Insurance,Financial Services,"American International Group Inc is an insurance company. The company through its subsidiaries provides property casualty insurance, life insurance, retirement products, mortgage insurance and other financial services in the United States and abroad.",40.7127753,-74.0059728,"New york city,New york,United states of america"
AMT,American Tower Corporation (REIT),Boston,Massachusetts,United states of america,18,Low,14th percentile,5.8,6.7,5.6,,45.28099121,1.04E+11,New York Stock Exchange,James D. Taiclet,https://financialmodelingprep.com/images-New-jpg/AMT.jpg,http://www.americantower.com,Communication Services,Communication Services,"American Tower Corp is a real estate investment trust and an owner, operator and developer of multitenant communications real estate. The company leases the space of communications sites to wireless service providers, and wireless data providers.",42.3600825,-71.0588801,"Boston,Massachusetts,United states of america"
AWK,American Water Works Company Inc.,Camden,New jersey,United states of america,29,Medium,52nd percentile,13.1,10.1,6.1,Moderate,35.34207337,2.47E+10,New York Stock Exchange,Susan N. Story,https://financialmodelingprep.com/images-New-jpg/AWK.jpg,http://www.amwater.com,Utilities - Regulated,Utilities,"American Water Works Co Inc provides water and wastewater services to residential, commercial and industrial customers in the United States and Canada.",39.9259463,-75.1196199,"Camden,New jersey,United states of america"
ABC,AmerisourceBergen Corporation,Chesterbrook,Pennsylvania,United states of america,18,Low,14th percentile,2.6,9.1,6.1,Significant,14.27419355,1.83E+10,New York Stock Exchange,Steven H. Collis,https://financialmodelingprep.com/images-New-jpg/ABC.jpg,http://www.amerisourcebergen.com,Medical Distribution,Healthcare,"AmerisourceBergen Corp is a pharmaceutical services company. It provides drug distribution and related healthcare services and solutions to pharmacy, physician, and manufacturer customers based in the United States and Canada.",40.0756627,-75.4590816,"Chesterbrook,Pennsylvania,United states of america"
AMGN,Amgen Inc.,Thousand oaks,California,United states of america,22,Medium,28th percentile,0,15.8,6.6,Moderate,23.8352083,1.34E+11,Nasdaq Global Select,Robert A. Bradway,https://financialmodelingprep.com/images-New-jpg/AMGN.jpg,http://www.amgen.com,Biotechnology,Healthcare,"Amgen Inc is a U.S. based biotechnology company, with historical expertise in renal disease and cancer supportive care products. The firm discovers, develops, manufactures and delivers human therapeutics.",34.1705609,-118.8375937,"Thousand oaks,California,United states of america"
ADI,Analog Devices Inc.,Norwood,Massachusetts,United states of america,26,Medium,39th percentile,10.5,7.7,7.8,,38.45974601,4.15E+10,Nasdaq Global Select,Vincent T. Roche,https://financialmodelingprep.com/images-New-jpg/ADI.jpg,http://www.analog.com,Semiconductors,Technology,"Analog Devices Inc is engaged in the semiconductor industry. Its business involves designing, manufacturing and marketing of high-performance analog, mixed-signal and digital signal processing integrated circuits used in all types of electronic equipment.",42.1943909,-71.1989695,"Norwood,Massachusetts,United states of america"
NLY,Annaly Capital Management Inc,New york city,New york,United states of america,18,Low,14th percentile,4.2,6.6,7.5,,-4.073319756,1.40E+10,New York Stock Exchange,Kevin Keyes,https://financialmodelingprep.com/images-New-jpg/NLY.jpg,http://www.annaly.com,REITs,Real Estate,"Annaly Capital Management Inc is a part of the real estate sector. As a mortgage real estate investment trust, it owns a portfolio of real estate related investments, including mortgage pass-through certificates and collateralized mortgage obligations.",40.7127753,-74.0059728,"New york city,New york,United states of america"
ANSS,ANSYS Inc.,Canonsburg,Pennsylvania,United states of america,16,Negligible,8th percentile,1,10,5,,80.08255212,2.39E+10,Nasdaq Global Select,Ajei S. Gopal,https://financialmodelingprep.com/images-New-jpg/ANSS.jpg,http://www.ansys.com,Application Software,Technology,"Ansys Inc functions in the software industry. It develops and markets engineering software and services catering to engineers, designers, researchers and students across a broad spectrum of industries and academia.",40.2625702,-80.1872797,"Canonsburg,Pennsylvania,United states of america"
